School,Department,PROGRAM,SPECIALIZATION,Number of students in the 5th semester UG programs,Department-wise total,School-wise total
School of Engineering,ELECTRONICS & COMMUNICATION ENGINEERING,BACHELOR OF TECHNOLOGY ELECTRONICS & COMMUNICATION ENGINEERING,NA,5,25,415
School of Engineering,ELECTRONICS & COMMUNICATION ENGINEERING,BACHELOR OF TECHNOLOGY ELECTRONICS & COMMUNICATION ENGINEERING,VERY LARGE SCALE INTEGRATION,20,,
School of Engineering,COMPUTER SCIENCE & TECHNOLOGY,BACHELOR OF TECHNOLOGY COMPUTER SCIENCE & ENGINEERING,NA,193,376,
School of Engineering,COMPUTER SCIENCE & TECHNOLOGY,BACHELOR OF TECHNOLOGY COMPUTER SCIENCE & ENGINEERING,ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,107,,
School of Engineering,COMPUTER SCIENCE & TECHNOLOGY,BACHELOR OF TECHNOLOGY COMPUTER SCIENCE & ENGINEERING,CYBER SECURITY & THREAT INTELLIGENCE,19,,
School of Engineering,COMPUTER SCIENCE & TECHNOLOGY,BACHELOR OF TECHNOLOGY COMPUTER SCIENCE & ENGINEERING,FULL STACK DEVELOPMENT,39,,
School of Engineering,COMPUTER SCIENCE & TECHNOLOGY,BACHELOR OF TECHNOLOGY ROBOTICS & AI,NA,18,,
School of Engineering,MECHANICAL ENGINEERING,BACHELOR OF TECHNOLOGY MECHANICAL ENGINEERING,SMART MANUFACTURING & AUTOMATION,14,14,
School of Sciences,Physics,NIL,NA,0,0,0
School of Sciences,Chemistry,NIL,NA,0,0,0
School of Sciences,Mathematics,NIL,NA,0,0,0
School of Education,NA,BACHELOR OF ARTS - BACHELOR OF EDUCATION - INTEGRATED,NA,24,30,30
School of Education,NA,BACHELOR OF SCIENCES - BACHELOR OF EDUCATION - INTEGRATED,NA,6,,
School of Management,NA,BACHELOR OF BUSINESS ADMINISTRATION,GLOBAL OPERATIONS MANAGEMENT,17,122,122
School of Management,NA,BACHELOR OF BUSINESS ADMINISTRATION,GLOBAL HEALTH CARE MANAGEMENT,3,,
School of Management,NA,BACHELOR OF BUSINESS ADMINISTRATION,FINANCE & ACCOUNTS,33,,
School of Management,NA,BACHELOR OF BUSINESS ADMINISTRATION,ENTREPRENEURSHIP & FAMILY BUSINESS,37,,
School of Management,NA,BACHELOR OF BUSINESS ADMINISTRATION,BUSINESS ANALYTICS,32,,
School of Law,NA,BACHELOR OF ARTS - BACHELOR OF LAW - INTEGRATED,NA,60,100,100
School of Law,NA,BACHELOR OF BUSINESS ADMINISTRATION - BACHELOR OF LAW - INTEGRATED,NA,40,,
,,,Grand Total,667,667,667
,,,,,,