DEPARTMENT OF ELECTRONICS & COMMUNICATION ENGINEERING:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,At least 1 out of Industry mentor or Alumni Mentor or Faculty Co-Mentor from outside MRU is required.,,,,,,,,,,,,,,,,,,,,,
Sl. No,Name of Faculty,Designation,Problem Statement,IDPaspectInproblemStatement,facultyComentorFromMRU,industryMentor,alumniMentor,facultyComentorOutsideMRU,DisciplinesInvovled,"Expected Outcome
1 or more out of the following:
Research paper
Copyright
Prototype
Patent
Product
Startup
Innovation
Newspaper Article
Vlog/Blog",SDGs,societalOrIndustrialImpact,,,,,,,,,,,,,,,
1,Prof. (Dr.) Dipali Bansal,Dean-Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
2,Prof. (Dr.) Shruti Vashist,"Prof., Dean-Academics
Dean Research & Consultancy
HoD-ECE",Self Cleaning Ceiling Fan,A Smart AC Fan which can clear itself without interuption or requirenment of human interface perdiocally  ,"Mr. Vijay Kumar Gill, Dr. Parneeta Dhaliwal",NA,NA,NA,"CSE, ECE","Patent, Prototype","SDG 3, 7, 9 and 12",Reducing accident and help woman and  elderly or sepcially challenged person.,,,,,,,,,,,,,,,
3,Dr. Meenakshi Gupta,Assoc. Prof.-Assoc. HoD,Smart Waste Segregation System Using Computer Vision and Sensors,Improper waste segregation at the source is a persistent issue in urban waste management. Manual sorting is inefficient and poses health risks to workers. There is a need for an automated system that classifies and separates waste efficiently.,Dr. Niharika Thakur,"Dr. Anil Kumar Saini , CEERI, Pilani","Ms. Priyanka Mangla, B.tech ECE, (2011-2015) Scientist 'SC', Space Application Centre, ISRO","Ms. Neha Gupta, Bharti Vidyapeeth College of Engineering ","ECE, CST","Research Papers, Patent, Prototype","SDG 11 – Sustainable Cities and Communities
SDG 12 – Responsible Consumption and Production
SDG 13 – Climate Action

","1. Societal Impact:

i. Enhances public health and hygiene by reducing human contact with waste.

ii. Educates communities about waste categorization and promotes eco-conscious behavior.

iii. Empowers municipalities with data-driven insights for better planning and resource allocation.

2. Industrial Impact:

i. Offers a scalable solution for smart cities, municipalities, and waste management companies.

ii. Reduces labor costs and operational inefficiencies in waste handling.

iii. Enables real-time monitoring and automation, improving compliance with environmental regulations.

3. Contribution to New Knowledge:

i. Demonstrates the integration of computer vision and sensor fusion in environmental applications.

ii. Adds to the field of AI-driven sustainable technologies with a real-world deployment model.

iii. Provides a foundation for future research in automated material recovery, smart recycling, and robotics in waste management.
",,,,,,,,,,,,,,,
4,Prof. (Dr.) Charu Pathak ,"
Professor
                              ","Image Processing{enhancemeant,denoising} using Multiscale transform (Matlab,Paython Software )","Image denoising plays very crucial role in applications which include photography/videography, Security-Surveillance, Medical Image analysis, Astronomy, Aerial photography, Satellite Imagery, and many more. The results of denoising also affect the accuracy of later tasks of image segmentation, object recognition, classification.
In this project we explore image denoising of different images with different noises using multiscale transform such as wavelet transform, ridgelet transform, curvelet transform and shearlet transform and several thresholding techniques such as hard thresholding, soft thresholding, SUREShrink, VisuShrink and BayesShrink etc. Further, we compare the performance of these methods or transform in terms of PSNR and MSE values and aim to provide better image denoising technique for images.",Dr. Aparna Vyas,NA,NA ,"1. Prof. Joonki Paik
Department of Image Science 
Chung-Ang University

2. Prof. Gibak Kim
Department of Electrical Enginnering
Soongsil University, Seoul, South Korea","Sciences, CST, ECE",Research Paper,"SDG 3, 4, 9, 11, 13","The outcome is expected to contribute:

To Industry: By improving visual data preprocessing pipelines in domains such as healthcare diagnostics, satellite image interpretation, and security surveillance, leading to more accurate and reliable decision-making.

To Society: Through enhanced image quality in daily applications such as mobile photography, video streaming, and medical diagnostics, ultimately improving user experience and diagnostic precision.

To New Knowledge: By offering comparative insights into the performance of different multiscale transforms and thresholding methods, the research contributes to the academic understanding and future development of efficient image denoising algorithms.

In general, this work promotes innovation in digital imaging and lays the groundwork for robust, noise-resilient image processing systems.",,,,,,,,,,,,,,,
5,Mr. Bhanu Pratap Chaudhary,Asstt. Prof.,Real-Time Air Pollution Monitoring and Control System for Urban Environments,"A low-cost sensor network to measure pollutants and provide data-driven control strategies to reduce air pollution. Integration of Environmental Science (air pollutants), Electronics (sensor networks), Electrical Engineering (communication systems), and Urban Planning.","Mr. Vijay Kumar Gill, Dr. Lokesh Bhardwaj",NA,NA,Dr. Ravi shankar,"Sciences, ECE, ME","Prototype, Research Paper, Patent",SDG 11: Sustainable Cities and Communities,"Enables better air quality management, improves public health, and supports policy making.",,,,,,,,,,,,,,,
6,Mr. Lokesh Bhardwaj,Asstt. Prof.,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dr. Niharika Thakur,"Associate Dean-SW
Assoc. Prof.
",Smart Vehicle with Alcohol Detection and Accident Alert,A system that prevents ignition if alcohol is detected and sends live location in case of crash.,Dr. Meenakshi Gupta,"Dr. Yogita Khanna, Manager, Kohler",NA,NA,"ECE, CST, ME","Research Paper, Patent and Prototype","3 (Health), 11 (Safe Transport)",Aids in reducing drunk driving cases and improves emergency response.,,,,,,,,,,,,,,,
8,Dr. Piyush Charan,Assoc. Prof.,moved to R&AI sheet,,,,,,,,,,,,,,,,,,,,,,,,
9,Mr. Varun Yadav,Asstt. Prof.,Left,,,,,,,,,,,,,,,,,,,,,,,,
10,Mr. Vijay Kumar Gill,Asstt. Prof.,Anti Suicidal Fan,Anti-suicidal fan will measure the weight and slowly fall off to lower height to save life and raise alarm ,"Mr. Bhanu Pratap Chaudhary, Dr. Lokesh Bhardwaj",NA,NA,Dr. Anand Singh Rajpoot,"CST, ECE",Patent and Prototype,"SDG 3, 9, 11","protect life, promote mental well-being, and create safer environments through thoughtful design and innovation",,,,,,,,,,,,,,,
11,Dr. Priyanka Bansal,Professor,moved to R&AI sheet,,,,,,,,,,,,,,,,,,,,,,,,
12,Dr. Pawan Kumar Sharma,Assoc. Prof.,Left,,,,,,,,,,,,,,,,,,,,,,,,
13,Ms. Nitu Chauhan,Asstt. Prof.,MindBand: IOT enabled Wearable and App Ecosystem for Campus Mental Well-Being,"ECE students can work on integration of biometric sensors: Photoplethysmography (PPG) (for Heart Rate Variability), Electrodermal Activity (EDA), Temperature and embedded firmware design for real time monitoring. AI can be implemented by CSE students for analysing the time series data. They can also develop an app for visual insights and interventions. Mechanical students can design a comfortable adjustable, band or clip-on for daily wear which is Sweat-resistant, lightweight and made of skin-safe materials.",Dr Chandni Magoo,NA,NA,"Ms. Mrinal Manjari, Satyug Darshan Institute of Engg. and Technology, Faridabad","ECE, CST, ME","Research Paper, Patent, Prototype","SDG 3 (Good Health and Well-Being) , SDG 4 (Quality Education) and SDG 9 (Industry, Innovation and Infrastructure)","Supports mental health awareness in academic institutions with tech-based interventions

Encourages early detection of stress and burnout in students, leading to timely help",,,,,,,,,,,,,,,
14,Dr. Mohit Kumar Singh,Assistant Professor,Smart Navigation Stick with Object Identification and Scene Narration for Visually Impaired Person,Designed to address the specific challenges faced by visually impaired individuals while enhancing their independence and safety. ECE students will design the hardware having different kind of sensors and CSE students can embed smartness in the stick with AI/ML.,Dr. Piyush Charan,"1. Anurag Gupta, Director- STEMROBO Technologies.  2. Gajendra Pratap Singh, Director- Sysro Infotech.  ",NA,NA,"ECE, CST ","Prototype, Patent","SDG 3 (Good Health and Well-Being) and SDG 9 (Industry, Innovation and Infrastructure)","A significant advancement in assistive technology for the visually impaired person. By integrating sensors, real-time data processing, and connectivity features, this smart device enhances mobility and safety for users.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
